Test Case ID,Module,Suite,Feature,Test Title,Preconditions,Steps,Input,Expected Result,Actual Result,Execution Status,Priority,Severity,Execution Time,Evidence,Traceability,Owner,Requirement ID,Environment
TC-SECURITY-1023,Offline,Security,Offline feature,Offline audit covering insecure direct object reference,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Offline behaves correctly,Matches expected,Passed,High,High,3320ms,./evidence/TC-SECURITY-1023.png,REQ-523,QA-Team,REQ-OFFLINE,Staging
TC-SECURITY-1024,History,Security,History feature,History audit covering timing attack on password validation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,2749ms,./evidence/TC-SECURITY-1024.png,REQ-561,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1025,Offline,Security,Offline feature,Offline vulnerability check for XSS payload execution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Offline behaves correctly,Matches expected,Passed,High,High,304ms,./evidence/TC-SECURITY-1025.png,REQ-283,QA-Team,REQ-OFFLINE,Staging
TC-SECURITY-1026,Profile,Security,Profile feature,Profile resilience against unvalidated redirect,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Profile behaves correctly,Matches expected,Passed,High,High,3816ms,./evidence/TC-SECURITY-1026.png,REQ-704,QA-Team,REQ-PROFILE,Staging
TC-SECURITY-1027,Camera,Security,Camera feature,Camera vulnerability check for insecure direct object reference,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Camera behaves correctly,Matches expected,Passed,High,High,7445ms,./evidence/TC-SECURITY-1027.png,REQ-829,QA-Team,REQ-CAMERA,Staging
TC-SECURITY-1028,Assessment,Security,Assessment feature,Assessment vulnerability check for IDOR on user object,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Assessment behaves correctly,Matches expected,Passed,High,High,7438ms,./evidence/TC-SECURITY-1028.png,REQ-306,QA-Team,REQ-ASSESSMENT,Staging
TC-SECURITY-1029,Visit,Security,Visit feature,Visit Reminder audit covering CORS misconfiguration,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Visit behaves correctly,Matches expected,Passed,High,High,7329ms,./evidence/TC-SECURITY-1029.png,REQ-565,QA-Team,REQ-VISIT,Staging
TC-SECURITY-1030,Settings,Security,Settings feature,Settings resilience against HTTP parameter pollution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,838ms,./evidence/TC-SECURITY-1030.png,REQ-356,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1031,Settings,Security,Settings feature,Settings vulnerability check for JWT signature manipulation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,2754ms,./evidence/TC-SECURITY-1031.png,REQ-808,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1032,Profile,Security,Profile feature,Profile vulnerability check for SSRF on webhook URL,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Profile behaves correctly,Matches expected,Passed,High,High,5413ms,./evidence/TC-SECURITY-1032.png,REQ-828,QA-Team,REQ-PROFILE,Staging
TC-SECURITY-1033,Authentication,Security,Authentication feature,Authentication vulnerability check for HTTP parameter pollution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Authentication behaves correctly,Matches expected,Passed,High,High,6624ms,./evidence/TC-SECURITY-1033.png,REQ-267,QA-Team,REQ-AUTHENTICATION,Staging
TC-SECURITY-1034,Dashboard,Security,Dashboard feature,Dashboard audit covering graphQL introspection leak,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Dashboard behaves correctly,Matches expected,Passed,High,High,5984ms,./evidence/TC-SECURITY-1034.png,REQ-850,QA-Team,REQ-DASHBOARD,Staging
TC-SECURITY-1035,Permissions,Security,Permissions feature,Permissions resilience against missing secure flag on cookie,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Permissions behaves correctly,Matches expected,Passed,High,High,1112ms,./evidence/TC-SECURITY-1035.png,REQ-193,QA-Team,REQ-PERMISSIONS,Staging
TC-SECURITY-1036,Notifications,Security,Notifications feature,Notifications vulnerability check for insecure direct object reference,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Notifications behaves correctly,Matches expected,Passed,High,High,1035ms,./evidence/TC-SECURITY-1036.png,REQ-823,QA-Team,REQ-NOTIFICATIONS,Staging
TC-SECURITY-1037,Profile,Security,Profile feature,Profile vulnerability check for missing secure flag on cookie,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Profile behaves correctly,Matches expected,Passed,High,High,3781ms,./evidence/TC-SECURITY-1037.png,REQ-749,QA-Team,REQ-PROFILE,Staging
TC-SECURITY-1038,Dashboard,Security,Dashboard feature,Dashboard vulnerability check for XSS payload execution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Dashboard behaves correctly,Matches expected,Passed,High,High,3073ms,./evidence/TC-SECURITY-1038.png,REQ-187,QA-Team,REQ-DASHBOARD,Staging
TC-SECURITY-1039,History,Security,History feature,History vulnerability check for secret exposure in headers,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,4391ms,./evidence/TC-SECURITY-1039.png,REQ-824,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1040,Permissions,Security,Permissions feature,Permissions vulnerability check for SSRF on webhook URL,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Permissions behaves correctly,Matches expected,Passed,High,High,3246ms,./evidence/TC-SECURITY-1040.png,REQ-844,QA-Team,REQ-PERMISSIONS,Staging
TC-SECURITY-1041,Dashboard,Security,Dashboard feature,Dashboard resilience against XSS payload execution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Dashboard behaves correctly,Matches expected,Passed,High,High,6580ms,./evidence/TC-SECURITY-1041.png,REQ-623,QA-Team,REQ-DASHBOARD,Staging
TC-SECURITY-1042,Permissions,Security,Permissions feature,Permissions resilience against graphQL introspection leak,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Permissions behaves correctly,Matches expected,Passed,High,High,5114ms,./evidence/TC-SECURITY-1042.png,REQ-263,QA-Team,REQ-PERMISSIONS,Staging
TC-SECURITY-1043,Offline,Security,Offline feature,Offline audit covering NoSQL injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Offline behaves correctly,Matches expected,Passed,High,High,3202ms,./evidence/TC-SECURITY-1043.png,REQ-663,QA-Team,REQ-OFFLINE,Staging
TC-SECURITY-1044,Education,Security,Education feature,Education resilience against insecure direct object reference,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Education behaves correctly,Matches expected,Passed,High,High,3217ms,./evidence/TC-SECURITY-1044.png,REQ-144,QA-Team,REQ-EDUCATION,Staging
TC-SECURITY-1045,Authentication,Security,Authentication feature,Authentication resilience against XML external entity injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Authentication behaves correctly,Matches expected,Passed,High,High,6393ms,./evidence/TC-SECURITY-1045.png,REQ-274,QA-Team,REQ-AUTHENTICATION,Staging
TC-SECURITY-1046,Notifications,Security,Notifications feature,Notifications vulnerability check for unvalidated redirect,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Notifications behaves correctly,Matches expected,Passed,High,High,7573ms,./evidence/TC-SECURITY-1046.png,REQ-443,QA-Team,REQ-NOTIFICATIONS,Staging
TC-SECURITY-1047,Permissions,Security,Permissions feature,Permissions vulnerability check for JWT signature manipulation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Permissions behaves correctly,Matches expected,Passed,High,High,4732ms,./evidence/TC-SECURITY-1047.png,REQ-992,QA-Team,REQ-PERMISSIONS,Staging
TC-SECURITY-1048,Reminder,Security,Reminder feature,Reminder resilience against stale session persistence,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Reminder behaves correctly,Matches expected,Passed,High,High,5502ms,./evidence/TC-SECURITY-1048.png,REQ-983,QA-Team,REQ-REMINDER,Staging
TC-SECURITY-1049,Dashboard,Security,Dashboard feature,Dashboard audit covering business logic flaw,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Dashboard behaves correctly,Matches expected,Passed,High,High,1329ms,./evidence/TC-SECURITY-1049.png,REQ-266,QA-Team,REQ-DASHBOARD,Staging
TC-SECURITY-1050,Dashboard,Security,Dashboard feature,Dashboard resilience against NoSQL injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Dashboard behaves correctly,Matches expected,Passed,High,High,7217ms,./evidence/TC-SECURITY-1050.png,REQ-248,QA-Team,REQ-DASHBOARD,Staging
TC-SECURITY-1051,Visit,Security,Visit feature,Visit Reminder vulnerability check for CORS misconfiguration,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Visit behaves correctly,Matches expected,Passed,High,High,1565ms,./evidence/TC-SECURITY-1051.png,REQ-887,QA-Team,REQ-VISIT,Staging
TC-SECURITY-1052,Notifications,Security,Notifications feature,Notifications resilience against rate limit evasion,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Notifications behaves correctly,Matches expected,Passed,High,High,5933ms,./evidence/TC-SECURITY-1052.png,REQ-152,QA-Team,REQ-NOTIFICATIONS,Staging
TC-SECURITY-1053,Tooth,Security,Tooth feature,Tooth Scan vulnerability check for XML external entity injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Tooth behaves correctly,Matches expected,Passed,High,High,3537ms,./evidence/TC-SECURITY-1053.png,REQ-415,QA-Team,REQ-TOOTH,Staging
TC-SECURITY-1054,Profile,Security,Profile feature,Profile resilience against timing attack on password validation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Profile behaves correctly,Matches expected,Passed,High,High,2635ms,./evidence/TC-SECURITY-1054.png,REQ-847,QA-Team,REQ-PROFILE,Staging
TC-SECURITY-1055,Camera,Security,Camera feature,Camera vulnerability check for path traversal via filename,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Camera behaves correctly,Matches expected,Passed,High,High,6396ms,./evidence/TC-SECURITY-1055.png,REQ-556,QA-Team,REQ-CAMERA,Staging
TC-SECURITY-1056,Camera,Security,Camera feature,Camera resilience against rate limit evasion,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Camera behaves correctly,Matches expected,Passed,High,High,2465ms,./evidence/TC-SECURITY-1056.png,REQ-741,QA-Team,REQ-CAMERA,Staging
TC-SECURITY-1057,Visit,Security,Visit feature,Visit Reminder vulnerability check for IDOR on user object,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Visit behaves correctly,Matches expected,Passed,High,High,1580ms,./evidence/TC-SECURITY-1057.png,REQ-220,QA-Team,REQ-VISIT,Staging
TC-SECURITY-1058,History,Security,History feature,History resilience against HTTP parameter pollution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,7460ms,./evidence/TC-SECURITY-1058.png,REQ-234,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1059,Tooth,Security,Tooth feature,Tooth Scan vulnerability check for brute force login,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Tooth behaves correctly,Matches expected,Passed,High,High,7967ms,./evidence/TC-SECURITY-1059.png,REQ-307,QA-Team,REQ-TOOTH,Staging
TC-SECURITY-1060,Tooth,Security,Tooth feature,Tooth Scan vulnerability check for secret exposure in headers,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Tooth behaves correctly,Matches expected,Passed,High,High,128ms,./evidence/TC-SECURITY-1060.png,REQ-737,QA-Team,REQ-TOOTH,Staging
TC-SECURITY-1061,Settings,Security,Settings feature,Settings vulnerability check for missing secure flag on cookie,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,6370ms,./evidence/TC-SECURITY-1061.png,REQ-359,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1062,Permissions,Security,Permissions feature,Permissions audit covering path traversal via filename,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Permissions behaves correctly,Matches expected,Passed,High,High,200ms,./evidence/TC-SECURITY-1062.png,REQ-569,QA-Team,REQ-PERMISSIONS,Staging
TC-SECURITY-1063,Tooth,Security,Tooth feature,Tooth Scan resilience against path traversal via filename,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Tooth behaves correctly,Matches expected,Passed,High,High,4176ms,./evidence/TC-SECURITY-1063.png,REQ-975,QA-Team,REQ-TOOTH,Staging
TC-SECURITY-1064,Dashboard,Security,Dashboard feature,Dashboard vulnerability check for graphQL introspection leak,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Dashboard behaves correctly,Matches expected,Passed,High,High,4184ms,./evidence/TC-SECURITY-1064.png,REQ-656,QA-Team,REQ-DASHBOARD,Staging
TC-SECURITY-1065,Visit,Security,Visit feature,Visit Reminder resilience against privilege escalation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Visit behaves correctly,Matches expected,Passed,High,High,6714ms,./evidence/TC-SECURITY-1065.png,REQ-105,QA-Team,REQ-VISIT,Staging
TC-SECURITY-1066,Camera,Security,Camera feature,Camera audit covering CSRF token bypass,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Camera behaves correctly,Matches expected,Passed,High,High,5080ms,./evidence/TC-SECURITY-1066.png,REQ-605,QA-Team,REQ-CAMERA,Staging
TC-SECURITY-1067,History,Security,History feature,History resilience against business logic flaw,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,2048ms,./evidence/TC-SECURITY-1067.png,REQ-322,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1068,History,Security,History feature,History resilience against SQL injection attempt,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,4923ms,./evidence/TC-SECURITY-1068.png,REQ-775,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1069,Assessment,Security,Assessment feature,Assessment vulnerability check for SQL injection attempt,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Assessment behaves correctly,Matches expected,Passed,High,High,3997ms,./evidence/TC-SECURITY-1069.png,REQ-564,QA-Team,REQ-ASSESSMENT,Staging
TC-SECURITY-1070,Education,Security,Education feature,Education resilience against timing attack on password validation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Education behaves correctly,Matches expected,Passed,High,High,3459ms,./evidence/TC-SECURITY-1070.png,REQ-552,QA-Team,REQ-EDUCATION,Staging
TC-SECURITY-1071,Permissions,Security,Permissions feature,Permissions resilience against brute force login,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Permissions behaves correctly,Matches expected,Passed,High,High,750ms,./evidence/TC-SECURITY-1071.png,REQ-715,QA-Team,REQ-PERMISSIONS,Staging
TC-SECURITY-1072,Settings,Security,Settings feature,Settings vulnerability check for HTTP parameter pollution,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,5016ms,./evidence/TC-SECURITY-1072.png,REQ-106,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1073,Authentication,Security,Authentication feature,Authentication vulnerability check for timing attack on password validation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Authentication behaves correctly,Matches expected,Passed,High,High,2104ms,./evidence/TC-SECURITY-1073.png,REQ-660,QA-Team,REQ-AUTHENTICATION,Staging
TC-SECURITY-1074,Education,Security,Education feature,Education vulnerability check for secret exposure in headers,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Education behaves correctly,Matches expected,Passed,High,High,2378ms,./evidence/TC-SECURITY-1074.png,REQ-734,QA-Team,REQ-EDUCATION,Staging
TC-SECURITY-1075,Settings,Security,Settings feature,Settings vulnerability check for XML external entity injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,5249ms,./evidence/TC-SECURITY-1075.png,REQ-670,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1076,Offline,Security,Offline feature,Offline resilience against SSRF on webhook URL,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Offline behaves correctly,Matches expected,Passed,High,High,6818ms,./evidence/TC-SECURITY-1076.png,REQ-945,QA-Team,REQ-OFFLINE,Staging
TC-SECURITY-1077,Offline,Security,Offline feature,Offline resilience against XML external entity injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Offline behaves correctly,Matches expected,Passed,High,High,1800ms,./evidence/TC-SECURITY-1077.png,REQ-150,QA-Team,REQ-OFFLINE,Staging
TC-SECURITY-1078,Notifications,Security,Notifications feature,Notifications audit covering JWT signature manipulation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Notifications behaves correctly,Matches expected,Passed,High,High,1614ms,./evidence/TC-SECURITY-1078.png,REQ-251,QA-Team,REQ-NOTIFICATIONS,Staging
TC-SECURITY-1079,Permissions,Security,Permissions feature,Permissions resilience against path traversal via filename,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Permissions behaves correctly,Matches expected,Passed,High,High,551ms,./evidence/TC-SECURITY-1079.png,REQ-768,QA-Team,REQ-PERMISSIONS,Staging
TC-SECURITY-1080,Profile,Security,Profile feature,Profile vulnerability check for unvalidated redirect,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Profile behaves correctly,Matches expected,Passed,High,High,2959ms,./evidence/TC-SECURITY-1080.png,REQ-137,QA-Team,REQ-PROFILE,Staging
TC-SECURITY-1081,Reminder,Security,Reminder feature,Reminder vulnerability check for XML external entity injection,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Reminder behaves correctly,Matches expected,Passed,High,High,1290ms,./evidence/TC-SECURITY-1081.png,REQ-974,QA-Team,REQ-REMINDER,Staging
TC-SECURITY-1082,Camera,Security,Camera feature,Camera audit covering secret exposure in headers,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Camera behaves correctly,Matches expected,Passed,High,High,365ms,./evidence/TC-SECURITY-1082.png,REQ-783,QA-Team,REQ-CAMERA,Staging
TC-SECURITY-1083,Dashboard,Security,Dashboard feature,Dashboard resilience against rate limit evasion,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Dashboard behaves correctly,Matches expected,Passed,High,High,4835ms,./evidence/TC-SECURITY-1083.png,REQ-958,QA-Team,REQ-DASHBOARD,Staging
TC-SECURITY-1084,Notifications,Security,Notifications feature,Notifications audit covering SQL injection attempt,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Notifications behaves correctly,Matches expected,Passed,High,High,5042ms,./evidence/TC-SECURITY-1084.png,REQ-405,QA-Team,REQ-NOTIFICATIONS,Staging
TC-SECURITY-1085,Tooth,Security,Tooth feature,Tooth Scan audit covering SQL injection attempt,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Tooth behaves correctly,Matches expected,Passed,High,High,2812ms,./evidence/TC-SECURITY-1085.png,REQ-189,QA-Team,REQ-TOOTH,Staging
TC-SECURITY-1086,Settings,Security,Settings feature,Settings resilience against SQL injection attempt,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,501ms,./evidence/TC-SECURITY-1086.png,REQ-211,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1087,History,Security,History feature,History vulnerability check for path traversal via filename,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,3515ms,./evidence/TC-SECURITY-1087.png,REQ-282,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1088,Settings,Security,Settings feature,Settings vulnerability check for business logic flaw,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Settings behaves correctly,Matches expected,Passed,High,High,1421ms,./evidence/TC-SECURITY-1088.png,REQ-788,QA-Team,REQ-SETTINGS,Staging
TC-SECURITY-1089,History,Security,History feature,History vulnerability check for privilege escalation,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,History behaves correctly,Matches expected,Passed,High,High,2429ms,./evidence/TC-SECURITY-1089.png,REQ-725,QA-Team,REQ-HISTORY,Staging
TC-SECURITY-1090,Education,Security,Education feature,Education audit covering rate limit evasion,System is operational,"1. Setup context
2. Execute action
3. Verify response",Standard Input,Education behaves correctly,Matches expected,Passed,High,High,5514ms,./evidence/TC-SECURITY-1090.png,REQ-808,QA-Team,REQ-EDUCATION,Staging
